,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
8907,Rollish,9533,0.64714086,52.955757,34,2 352030,2,18.955757,13,3,5,2,0,3,0,Tba,41.0,-11.95575714,47.5,53.2,,,,,1,2.1153846153846154,0.7051282051282052,0,0,0,1,0,1,0,1,0,0,0,0,1,8,5,False,False,False,True
8908,Medium,7088,0.56297934,34.785564,22,7 141020,7,12.785564,8,1,4,1,0,2,0,Matussek,34.9,0.1144355774,33.0,34.9,,,,,0,2.75,0.9166666666666666,0,0,0,1,0,1,0,0,0,0,0,0,0,5,4,False,True,False,False
8909,Medium,6986,0.49150655,29.470325,18,9 040020,9,11.470325,6,0,4,0,0,2,0,Matussek,29.1,-0.37032547,28.0,29.1,,,,,0,3.0,1.0,1,0,1,1,0,1,0,0,0,0,0,0,0,4,4,False,True,False,False
8910,Medium,44172,1.3810079,69.67263,60,0 122514,0,9.67263,15,1,2,2,5,1,4,Tba,67.0,-2.67263031,69.0,73.3,,,,,1,3.5,1.1666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,False,True,False,False
8911,Medium,43083,1.1929562,62.637566,52,2 121504,2,10.637566,13,1,2,1,5,0,4,Tba,59.0,-3.637565613,61.0,64.3,,,,,1,3.5,1.1666666666666667,0,0,0,0,1,0,0,0,0,1,0,0,1,3,5,False,True,False,False
8912,Medium,37207,0.97583914,56.406536,44,3 220503,3,12.406536,12,2,2,0,5,0,3,Tba,51.0,-5.406536102,54.0,57.4,,,,,0,3.6666666666666665,1.222222222222222,0,0,1,0,1,0,0,0,0,1,0,0,1,4,5,False,True,False,False
8913,Medium,28816,0.7883411,41.03255,32,7 020402,7,9.03255,8,0,2,0,4,0,2,Matussek,41.9,0.8674491882,40.0,41.9,,,,,0,4.0,1.3333333333333333,1,0,1,0,1,0,0,0,0,0,0,0,0,2,4,False,True,False,False
8914,Medium,40516,1.4282608,66.08263,58,1 112433,1,8.08263,14,1,1,2,4,3,3,Tba,65.0,-1.082626343,66.5,69.9,,,,,0,4.142857142857143,1.3809523809523812,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
8915,Rollish,28448,0.7752107,61.396717,44,0 335202,0,17.396717,15,3,3,5,2,0,2,Tba,51.0,-10.39671707,57.4,63.4,,,,,1,2.433333333333333,0.811111111111111,0,0,0,0,1,0,0,0,1,0,0,0,1,6,5,False,False,False,True
8916,Low,17098,0.77488524,55.681404,37,1 425201,1,18.681404,14,4,2,5,2,0,1,Tba,44.0,-11.68140411,50.9,57.0,,,,,0,2.642857142857143,0.8809523809523809,0,0,0,0,1,0,0,0,1,0,0,0,1,6,5,False,False,True,False
8917,Low,1299,0.59640694,45.26977,27,3 425100,3,18.26977,12,4,2,5,1,0,0,Tba,34.0,-11.26977158,41.9,46.5,,,,,0,2.25,0.75,0,0,0,0,1,1,0,0,1,0,0,0,1,6,5,False,False,True,False
8918,Medium,15674,0.4339232,28.630442,17,9 041001,9,11.630442,6,0,4,1,0,0,1,Matussek,28.6,-0.03044166565,26.0,28.6,,,,,0,2.8333333333333335,0.9444444444444445,1,0,0,1,1,0,0,0,0,0,0,0,0,4,4,False,True,False,False
8919,Medium,39621,1.1330693,54.80795,47,4 102323,4,7.80795,11,1,0,2,3,2,3,Tba,54.0,-0.8079490662,55.0,56.0,,,,,1,3.7727272727272725,1.2575757575757576,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
8920,Low,9708,0.85107416,61.106857,42,0 336030,0,19.106857,15,3,3,6,0,3,0,Tba,49.0,-12.1068573,57.1,62.8,,,,,1,2.3,0.7666666666666666,0,0,0,1,0,1,0,0,1,0,0,0,1,6,6,False,False,True,False
8921,Low,7395,0.8874509,56.195366,36,1 426020,1,20.195366,14,4,2,6,0,2,0,Tba,43.0,-13.19536591,51.6,57.3,,,,,0,2.5714285714285716,0.8571428571428572,0,0,0,1,0,1,0,0,1,0,0,0,1,6,6,False,False,True,False
8922,Rollish,620,0.5676361,50.96867,27,2 526000,2,23.96867,13,5,2,6,0,0,0,Tba,34.0,-16.96866989,43.6,50.9,,,,,1,1.576923076923077,0.5256410256410257,0,0,0,1,1,1,1,0,1,0,0,0,2,7,6,False,False,False,True
8923,Rollish,5697,0.58886486,51.631077,33,2 351310,2,18.631077,13,3,5,1,3,1,0,Tba,40.0,-11.63107681,46.5,52.2,,,,,1,2.0384615384615383,0.6794871794871794,0,0,0,0,0,1,0,1,0,0,0,0,1,8,5,False,False,False,True
8924,Rollish,2199,0.474131,44.352882,27,4 251300,4,17.352882,11,2,5,1,3,0,0,Tba,34.0,-10.35288239,39.5,44.0,,,,,1,1.9545454545454546,0.6515151515151515,0,0,0,0,1,1,0,1,0,0,0,0,1,7,5,False,False,False,True
8925,High,42538,0.8730766,38.983265,32,9 000204,9,6.983265,6,0,0,0,2,0,4,Matussek,38.7,-0.2832649231,39.0,38.7,,,,,0,5.333333333333333,1.7777777777777777,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,True,False,False,False
8926,Medium,33348,1.1848459,59.2626,50,3 005232,3,9.2626,12,0,0,5,2,3,2,Tba,57.0,-2.262599945,58.9,61.1,,,,,0,4.166666666666667,1.388888888888889,1,1,0,0,0,0,0,0,1,0,0,0,1,0,5,False,True,False,False
8927,Medium,30568,0.97342014,54.007946,43,3 115212,3,11.007946,12,1,1,5,2,1,2,Tba,50.0,-4.007946014,53.4,56.0,,,,,0,3.5833333333333335,1.1944444444444444,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,False,True,False,False
8928,High,48986,1.8320996,75.48816,68,0 111345,0,7.48816,15,1,1,1,3,4,5,Abc,76.5,1.01184082,76.5,79.1,,,,,1,4.033333333333333,1.3444444444444443,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,True,False,False,False
8929,Medium,43405,0.99450284,56.95511,44,3 142014,3,12.95511,12,1,4,2,0,1,4,Tba,51.0,-5.955108643,54.0,57.9,,,,,0,3.6666666666666665,1.222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,False,True,False,False
8930,Medium,37637,0.8020346,47.450798,35,5 141013,5,12.450798,10,1,4,1,0,1,3,Tba,42.0,-5.450798035,45.0,48.0,,,,,0,3.5,1.1666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,False,True,False,False
